id,question,words,core_word,answer,freq
11,甲肝减毒活疫苗是什么,"甲肝,减毒活疫苗",甲肝,甲肝减毒活疫苗用于预防甲肝病毒感染。上海市目前无甲肝减毒活疫苗供应。,
12,甲肝疫苗是什么,"甲肝,疫苗",甲肝,甲肝疫苗是用于预防甲型肝炎的疫苗，目前已被纳入我国的免疫规划。,
13,甲肝灭活疫苗是什么,"甲肝,灭活疫苗",甲肝,甲肝灭活疫苗用于预防甲肝病毒感染。,
14,麻疹疫苗是什么,"麻疹,疫苗",麻疹,麻疹疫苗是将43麻疹病毒减毒株接种原代鸡胚细胞，经培养、收获病毒液，加入适宜稳定剂冻干制成，主要成分为减毒的麻疹活病毒抗原，辅料包括精氨酸、味精、尿素、明胶、蔗糖，人血白蛋白。,
15,水痘疫苗是什么,"水痘,疫苗",水痘,水痘是一种由水痘-带状疱疹病毒引起的传染性极强的急性传染病，临床症状以发热，分批出现斑疹、丘疹、水疱疹和痂疹为主，严重时还会导致死亡。水痘疫苗是经水痘病毒传代毒株制备而成，是预防水痘感染的有效手段。接种水痘疫苗不仅能预防水痘，还能预防因水痘带状疱疹而引起的并发症。,
16,乙脑疫苗是什么,"乙脑,疫苗",乙脑,乙脑疫苗有乙脑减毒活疫苗和乙脑灭活疫苗2种。接种乙脑疫苗是预防流行性乙型脑炎的有效措施。流行性乙型脑炎简称乙脑，是由黄病毒科虫媒病毒--乙脑病毒引起的一种侵害中枢神经系统的急性传染病。是一种由蚊类传播的人畜共患疾病，人和许多动物（家畜、家禽和鸟类）感染乙脑病毒后都可成为乙脑的传染源，主要通过蚊虫叮咬而传播。,
17,乙脑灭活疫苗是什么,"乙脑,灭活疫苗",乙脑,本疫苗系用乙型脑炎病毒(P3株）接种Vero细胞，经培养、收货病毒、浓缩、灭活、纯化后，加入适宜稳定剂制成，为无色澄明液体。,
18,流脑疫苗是什么,"流脑,疫苗",流脑,流脑是流行性脑脊髓膜炎的简称，是由脑膜炎球菌感染引起的化脓性脑膜炎，是冬、春季常见的急性传染病，主要通过呼吸道飞沫传播。主要临床表现为突然发热、剧烈头痛、喷射性呕吐、皮肤和黏膜可见大片淤血点、淤血斑，淤血严重者可造成局部皮肤坏死。预防这种疾病的最佳方法是接种流脑疫苗。目前上海市使用的流脑疫苗有：a群脑膜炎球菌多糖疫苗、a群C群脑膜炎球菌多糖疫苗、a群C群脑膜炎球菌结合疫苗、ACWY135群脑膜炎球菌多糖疫苗。,
19,acyw135群脑膜炎球菌多糖疫苗是什么,"acyw135,群,脑膜炎球菌多糖,疫苗","脑膜炎,acyw135",ACYW135群脑膜炎球菌多糖疫苗用于预防A、C、Y及W135群奈瑟氏脑膜炎球菌引起的流行性脑脊髓膜炎。,
20,b型流感嗜血杆菌结合疫苗是什么,"b型流感,嗜血杆菌,疫苗",b型流感,b型流感嗜血杆菌结合疫苗，适应症为预防由b型流感嗜血杆菌引起的侵袭性疾病。,
21,流感疫苗是什么,流感疫苗,流感疫苗,用来预防流行性感冒病毒引起的流行性感冒（简称流感）的疫苗，称流感疫苗，属非免疫规划疫苗。流感疫苗是预防和控制流感的主要措施之一。可以减少接种者感染流感的机会或者减轻流感症状。,
22,轮状病毒疫苗是什么,"轮状病毒,疫苗",轮状病毒,轮状病毒疫苗是预防轮状病毒肠炎的疫苗，是预防轮状病毒感染的最经济、最有效的手段。,
23,13价肺炎球菌多糖结合疫苗是什么,"13价肺炎球菌多糖,疫苗",13价肺炎球菌,13价肺炎球菌多糖结合疫苗是一种预防疫苗所含血清型引起的侵袭性疾病（包括菌血症性肺炎、脑膜炎、败血症和菌血症等）的疫苗。,
24,23价肺炎球菌多糖疫苗是什么,"23价肺炎球菌多糖,疫苗",23价肺炎球菌,本品适用于免疫预防该疫苗所含荚膜菌型的肺炎球菌疾病。,
25,皮上划痕用鼠疫活疫苗是什么,"皮上,划痕,鼠疫,活疫苗",鼠疫,皮上划痕用鼠疫活疫苗采用鼠疫弱毒菌株经培养后收取菌体，加入稳定剂制成，用于预防鼠疫。鼠疫疫苗仅作为应急储备疫苗，在非疫区（包括上海）不提供常规接种。,
26,炭疽疫苗是什么,"炭疽,疫苗",炭疽,皮上划痕人用炭疽活疫苗系用炭疽芽孢杆菌的弱毒株经培养、收集菌体后加入稳定剂甘油稀释制成。通常用于高危人群接种，可预防炭疽。,
27,钩体疫苗是什么,"钩体,疫苗",钩体,接种钩端螺旋体疫苗后，可使机体产生免疫应答。用于预防钩端螺旋体病。钩端螺旋体疫苗仅作为应急储备疫苗，在非疫区（包括上海）不提供常规接种。,
28,狂犬病疫苗是什么,"狂犬病,疫苗",狂犬病,狂犬病疫苗用于预防感染狂犬病，可在被动物致伤后立即使用，也可在未被致伤时预防性使用。,
29,霍乱疫苗是什么,"霍乱,疫苗",霍乱,霍乱是由霍乱弧菌所致的烈性肠道传染病，夏秋季流行，四季散发，属于甲类传染病。典型的发病急骤，以剧烈的腹泻、呕吐、脱水及肌肉痉挛、循环衰竭伴严重电解质紊乱与酸碱失衡，甚至引起急性肾功能衰竭等为临床特征，一般以轻症多见，带菌者亦较多，但重症及典型患者其病死率极高。产毒性大肠杆菌（ETEC）是儿童腹泻中最常分离到的细菌，每年导致数亿儿童发生腹泻。世界卫生组织已将rBS/WC工艺的霍乱疫苗的适应症扩大到预防产毒性大肠杆菌腹泻。ETEC也是导致旅行者腹泻的最主要原因。接种霍乱疫苗是预防霍乱以及产毒性大肠杆菌腹泻的有效手段。,
30,肠道病毒71型灭活疫苗,"肠道病毒,71,型,灭活疫苗",灭活疫苗,肠道病毒71型灭活疫苗可刺激机体产生抗EV71的免疫力，用于预防EV71感染所致的手足口病。,
31,hpv疫苗是什么,"hpv,疫苗",hpv,hpv英文全称为Human papilloma virus，是指人乳头瘤病毒。大多数宫颈癌是由hpv感染所致。目前已分离出的hpv达100多型，其中至少14型可导致宫颈癌或其他恶性肿瘤。全球范围内，大多数的宫颈癌中可测出高危型hpvl6和18亚型，其中hpv16亚型诱发癌变的潜力最大。hpv疫苗用于预防由hpv病毒引起的宫颈癌及其他生殖道疾病，包括二价、四价和九价hpv疫苗。,
32,二价hpv疫苗是什么,"二价,hpv,疫苗","二价,hpv",二价hpv疫苗是指双价人乳头瘤病毒疫苗，适用于预防因高危hpv16/18所致的宫颈癌、2级、3级宫颈上皮内瘤样病变（CIN2/3）和原位癌、1级宫颈上皮内瘤样病变（CIN1）。适用于9~45岁女性接种。,
33,四价hpv疫苗是什么,"四价,hpv,疫苗","四价,hpv",四价hpv疫苗是指四价人乳头瘤病毒疫苗，适用于预防因高危hpv16/18所致的宫颈癌、2级、3级宫颈上皮内瘤样病变（CIN2/3）和原位癌、1级宫颈上皮内瘤样病变（CIN1）。适用于20~45岁女性接种。,
34,九价hpv疫苗是什么,"九价,hpv,疫苗","hpv,九价",九价hpv疫苗是指九价人乳头瘤病毒疫苗，适用于预防hpv16、18、31、33、45、52、85型引起的宫颈癌，以及由hpv6、11、16、18、31、33、45、52、58型引起的宫颈癌前病变或不典型病变。适用于16~26岁女性接种。,
35,联合疫苗是什么,联合疫苗, 联合,根据美国食品和药品管理局在《联合疫苗的评价要点》中的定义，联合疫苗指能够预防多种疾病的联合制品（其中包括在注射前混合的制品和载体疫苗）；或能预防由同一病原体的不同株或不同血清型引起的同一疾病的多价疫苗。这类产品可以由活的活灭活的多种微生物以及多种纯抗原联合制成。如果载体疫苗也可以预防此载体所引起的疾病，也认为是联合疫苗。,
36,减毒活疫苗是什么,减毒活疫苗,减毒活疫苗,减毒活疫苗是从野生株或致病的病毒或细菌衍生而来。这些野生病毒或细菌在实验室经反复传代被减毒后，以较小剂量接种人体即可在体内复制，并产生良好的免疫反应。,
37,灭活疫苗是什么,灭活疫苗,灭活疫苗,灭活疫苗是采用加热或化学剂（通常是甲醛溶液）将细菌或病毒灭活后，使其丧失毒力，但仍保留其免疫原性而研制成的疫苗。,
38,基因重组疫苗是什么,"基因重组,疫苗", 基因重组,通过强、弱毒株之间进行基因片段的交换而获得的疫苗。,
39,多糖疫苗是什么,"多糖,疫苗",多糖,多糖疫苗是由构成某些细菌表面的长链糖分子组成的灭活亚单位疫苗，它引起的免疫反应是典型的T细胞非依赖型免疫反应。,
40,乙肝疫苗的外名名称是什么,"乙肝疫苗,外名,名称",乙肝疫苗,hepatitis B vaccine,
41,卡介苗疫苗的英文名称是什么,"卡介苗,疫苗,英文名称",卡介苗,Bacille Calmette-Guérin Vaccine,
42,口服脊灰减毒疫苗的英文名称是什么,"口服,脊灰,减毒疫苗,英文名称",脊灰,Oral Poliovirus Vaccine,
43,百白破疫苗的外名名称是什么,"百白破,疫苗,外名,名称",百白破,"Diphtherid，Tetanus and Pertussis Combined Vaccine，（DTP）",
44,白破疫苗的外名名称是什么,"白破,疫苗,外名,名称",白破,Diphtheria and Tetanus Combined Vaccine（Td）,
45,麻疹风疹联合减毒活疫苗的英文名称是什么？,"麻疹,风疹,联合,减毒活疫苗,英文名称",麻疹,"Measles and Rubella Combined Vaccine, Live",
46,麻腮风联合减毒活疫苗的英文名称是什么？,"麻腮风,联合,减毒活疫苗,英文名称",联合,"Measles,Mumps and Rubella Combined Vaccine, Live",
47,乙脑减毒活疫苗的外名名称是什么,"乙脑,减毒活疫苗,外名,名称",乙脑,JapaneseEncephalitisVaccine，Live,
48,a群流脑多糖疫苗的英文名称是什么,"a群流脑,多糖,疫苗,英文名称",a群流脑,Group A meningococcal polysaccharide vaccine,
49,a+c群流脑多糖疫苗的英文名称是什么,"a+c群流脑多糖,疫苗,英文名称",a+c群流脑多糖,Group A and Group C Meningococcal Polysaccharide Vaccine,
50,甲肝减毒活疫苗的外名名称是什么,"甲肝,减毒活疫苗,外名,名称",甲肝,Hepatitis A Vaccine（Live）,
51,甲肝疫苗的外名名称是什么,"甲肝,疫苗,外名,名称",甲肝,Hepatitis A Vaccine,
52,甲肝灭活疫苗的外名名称是什么,"甲肝,灭活疫苗,外名,名称",甲肝,Hepatitis A Vaccine（Inactivated）,
53,麻疹减毒活疫苗的英文名称是什么？,"麻疹,减毒活疫苗,英文名称",麻疹,"Measles Vaccine, Live",
54,水痘疫苗的外名名称是什么,"水痘,疫苗,外名,名称",水痘,Varicella Vaccine、Varicella Vaccine,
55,乙脑疫苗的外名名称是什么,"乙脑,疫苗,外名,名称",乙脑,JapaneseEncephalitisVaccine,
56,乙脑灭活疫苗的外名名称是什么,"乙脑,灭活疫苗,外名,名称",乙脑,JapaneseEncephalitisVaccine，Inactivated,
57,流脑疫苗的英文名称是什么,"流脑,疫苗,英文名称",流脑,meningococcal vaccine,
58,acyw135群脑膜炎球菌多糖疫苗的英文名称是什么,"ACYW135,群,脑膜炎球菌多糖,疫苗,英文名称","脑膜炎,acyw135",Group ACYW135 Meningococcal Polysaccharide Vaccine,
59,b型流感嗜血杆菌结合疫苗的外名名称是什么,"b型流感,嗜血杆菌,疫苗,外名,名称",b型流感,Haemophilus influenzae type b vaccine、Haemophilus influenzae type b conjugate vaccines,
60,流感疫苗的英文名称是什么,"流感疫苗,英文名称",流感疫苗,Influenza Vaccine,
61,轮状病毒疫苗的外名名称是什么,"轮状病毒,疫苗,外名,名称",轮状病毒,Rotavirus vaccine,
62,肺炎球菌疫苗的外名名称是什么,"肺炎球菌,疫苗,外名,名称",肺炎球菌,Pneumococcal Vaccine,
63,13价肺炎球菌多糖结合疫苗的外名名称是什么,"13价肺炎球菌多糖,疫苗,外名,名称",13价肺炎球菌,13 valent pneumococcal polysaccharide conjugate vaccine,
64,23价肺炎球菌多糖疫苗的外名名称是什么,"23价肺炎球菌多糖,疫苗,外名,名称",23价肺炎球菌,23-valent pneumococcal polysaccharide vaccine,
65,皮上划痕用鼠疫活疫苗的英文名称是什么？,"皮上,划痕,鼠疫,活疫苗,英文名称",鼠疫,Plague Vaccine (Live) for Percutaneous Scarification,
66,钩体疫苗的外名名称是什么,"钩体,疫苗,外名,名称",钩体,Leptospira Vaccine,
67,狂犬病疫苗的英文名称是什么,"狂犬病,疫苗,英文名称",狂犬病,Rabies Vaccine,
68,霍乱疫苗的外名名称是什么,"霍乱,疫苗,外名,名称",霍乱,Cholera Vaccine,
69,手足口病疫苗的外名名称是什么,"手足口病,疫苗,外名,名称",手足口,Enterovirus Type 71 Vaccine,
70,hpv疫苗的英文名称是什么,"hpv,疫苗,英文名称",hpv,Human papillomavirus vaccine,
71,二价hpv疫苗的英文名称是什么,"二价,hpv,疫苗,英文名称",二价,"Human papillomavirus bivalent (Type 16,18) vaccine",
72,四价hpv疫苗的英文名称是什么,"四价,hpv,疫苗,英文名称",四价,"Human papillomavirus quadrivalent (Types 6,11,16,18) vaccine",
73,九价hpv疫苗的英文名称是什么,"九价,hpv,疫苗,英文名称",九价,"Human papillomavirus 9-valent (Types 6,11,16,18,31,33,45,52,58) vaccine",
75,卡介苗疫苗能预防什么疾病,"卡介苗,疫苗,预防,疾病",卡介苗,卡介苗主要预防婴幼儿结核性脑膜炎和粟粒性结核。,
76,口服脊灰减毒疫苗能预防什么疾病,"口服,脊灰,减毒疫苗,预防,疾病",脊灰,接种口服脊灰减毒活疫苗可以预防脊灰。,
77,百白破疫苗能预防什么疾病,"百白破,疫苗,预防,疾病",百白破,吸附无细胞百白破联合疫苗可以预防百日咳、白喉、破伤风。,
78,白破疫苗能预防什么疾病,"白破,疫苗,预防,疾病",白破,吸附白破联合疫苗可以预防白喉和破伤风。,
79,麻疹风疹联合减毒活疫苗能预防什么疾病,"麻疹,风疹,联合,减毒活疫苗,预防,疾病",麻疹,麻疹风疹联合减毒活疫苗用于预防麻疹和风疹。,
80,麻腮风联合减毒活疫苗能预防什么疾病,"麻腮风,联合,减毒活疫苗,预防,疾病",联合,麻腮风联合减毒活疫苗用于预防麻疹、腮腺炎和风疹。,
81,乙脑减毒活疫苗能预防什么疾病,"乙脑,减毒活疫苗,预防,疾病",乙脑,乙脑减毒活疫苗可以预防流行性乙型脑炎,
82,a群流脑多糖疫苗能预防什么疾病,"a群流脑,多糖,疫苗,预防,疾病",a群流脑,a群流脑多糖疫苗是指a群脑膜炎球菌多糖疫苗，可以预防a群脑膜炎球菌引起的流行性脑脊髓膜炎（流脑）。,
83,a+c群流脑多糖疫苗能预防什么疾病,"a+c群流脑多糖,疫苗,预防,疾病",a+c群流脑多糖,a+c群流脑多糖疫苗是指a群、C群脑膜炎球菌多糖疫苗，可以预防a群和C群脑膜炎球菌引起的流行性脑脊髓膜炎（流脑）。,
84,甲肝减毒活疫苗能预防什么疾病,"甲肝,减毒活疫苗,预防,疾病",甲肝,甲肝减毒活疫苗可以预防甲型肝炎。,
86,甲肝灭活疫苗能预防什么疾病,"甲肝,灭活疫苗,预防,疾病",甲肝,甲肝灭活疫苗可以预防甲型肝炎。,
87,麻疹疫苗能预防什么疾病,"麻疹,疫苗,预防,疾病",麻疹,接种麻疹疫苗可以预防麻疹,
90,乙脑灭活疫苗能预防什么疾病,"乙脑,灭活疫苗,预防,疾病",乙脑,乙脑灭活疫苗可以预防流行性乙型脑炎。,
92,acyw135群脑膜炎球菌多糖疫苗能预防什么疾病,"acyw135,群,脑膜炎球菌多糖,疫苗,预防,疾病","脑膜炎,acyw135",ACYW135群脑膜炎球菌多糖疫苗可以预防a群、C群、Y群、W135群脑膜炎球菌引起的流行性脑脊髓膜炎（流脑）。,
93,b型流感嗜血杆菌结合疫苗能预防什么疾病,"b型流感,嗜血杆菌,疫苗,预防,疾病",b型流感,预防由b型流感嗜血杆菌引起的侵袭性疾病。,
95,轮状病毒疫苗能预防什么疾病,"轮状病毒,疫苗,预防,疾病",轮状病毒,轮状病毒疫苗可以预防由于轮状病毒感染引起的腹泻。,
96,13价肺炎球菌多糖结合疫苗能预防什么疾病,"13价肺炎球菌多糖,疫苗,预防,疾病",13价肺炎球菌,肺炎球菌疫苗可以预防因特定血清型肺炎球菌引起的感染性疾病，特别是肺炎、脑膜炎等侵袭性疾病。,
97,23价肺炎球菌多糖疫苗能预防什么疾病,"23价肺炎球菌多糖,疫苗,预防,疾病",23价肺炎球菌,肺炎球菌疫苗可以预防因特定血清型肺炎球菌引起的感染性疾病，特别是肺炎、脑膜炎等侵袭性疾病。,
98,皮上划痕用鼠疫活疫苗能预防什么疾病,"皮上,划痕,鼠疫,活疫苗,预防,疾病",鼠疫,鼠疫,
99,炭疽疫苗能预防什么疾病,"炭疽,疫苗,预防,疾病",炭疽,炭疽病,
100,钩体疫苗能预防什么疾病,"钩体,疫苗,预防,疾病",钩体,钩端螺旋体病,
102,霍乱疫苗能预防什么疾病,"霍乱,疫苗,预防,疾病",霍乱,霍乱是由霍乱弧菌所致的烈性肠道传染病，夏秋季流行，四季散发，属于甲类传染病。典型的发病急骤，以剧烈的腹泻、呕吐、脱水及肌肉痉挛、循环衰竭伴严重电解质紊乱与酸碱失衡，甚至引起急性肾功能衰竭等为临床特征，一般以轻症多见，带菌者亦较多，但重症及典型患者其病死率极高。产毒性大肠杆菌（ETEC）是儿童腹泻中最常分离到的细菌，每年导致数亿儿童发生腹泻。世界卫生组织已将rBS/WC工艺的霍乱疫苗的适应症扩大到预防产毒性大肠杆菌腹泻。ETEC也是导致旅行者腹泻的最主要原因。接种霍乱疫苗是预防霍乱以及产毒性大肠杆菌腹泻的有效手段。,
103,肠道病毒71型灭活疫苗能预防什么疾病？,"肠道病毒,71,型,灭活疫苗,预防,疾病",灭活疫苗,肠道病毒71型灭活疫苗用于预防EV71感染所致的手足口病。,
105,二价hpv疫苗能预防什么疾病,"二价,hpv,疫苗,预防,疾病","hpv,二价",二价hpv疫苗可预防因高危hpv16/18所致的宫颈癌、2级、3级宫颈上皮内瘤样病变（CIN2/3）和原位癌、1级宫颈上皮内瘤样病变（CIN1）。,
106,四价hpv疫苗能预防什么疾病,"四价,hpv,疫苗,预防,疾病","hpv,四价",四价hpv疫苗可以预防因高危hpv16/18所致的宫颈癌、2级、3级宫颈上皮内瘤样病变（CIN2/3）和原位癌、1级宫颈上皮内瘤样病变（CIN1）。,
107,九价hpv疫苗能预防什么疾病,"九价,hpv,疫苗,预防,疾病","hpv,九价",九价hpv可以预防hpv16、18、31、33、45、52、85型引起的宫颈癌，以及由hpv6、11、16、18、31、33、45、52、58型引起的宫颈癌前病变或不典型病变。,
108,哪些人可以接种乙肝疫苗,"接种,乙肝疫苗",乙肝疫苗,任何年龄人群均可接种，新生儿在出生时应尽早接种。,
109,哪些人可以接种卡介苗疫苗,"接种,卡介苗,疫苗",卡介苗,主要为≤3岁儿童。,
110,哪些人可以接种口服脊灰减毒疫苗,"接种,口服,脊灰,减毒疫苗",脊灰,主要为≥2月龄儿童。,
111,哪些人可以接种百白破疫苗,"接种,百白破,疫苗",百白破,主要为3月龄～6岁儿童。,
112,哪些人可以接种白破疫苗,"接种,白破,疫苗",白破,主要为12岁以下儿童。,
113,哪些人可以接种麻风二联疫苗,"接种,麻风二联,疫苗","麻风,二联",8月龄以上的易感者可接种。,
114,哪些人可以接种麻腮风三联疫苗,"接种,麻腮风三联,疫苗","麻腮风,三联",主要为≥8月龄易感者,
115,哪些人可以接种乙脑减毒活疫苗,"接种,乙脑,减毒活疫苗",乙脑,主要为≥8月龄儿童，及由非疫区进入疫区的儿童和成人,
116,宝宝需要什么时候接种a群流脑多糖疫苗？,"宝宝,接种,a群流脑,多糖,疫苗",a群流脑,中国现行的a群流脑多糖流脑疫苗的免疫程序：接种对象年龄为6~18月龄，基础免疫注射2针，每针间隔3个月。,
117,宝宝需要什么时候接种a+c群流脑多糖疫苗,"宝宝,接种,a+c群流脑多糖,疫苗",a+c群流脑多糖,中国现行的a+c群流脑多糖疫苗的免疫程序：接种对象为3、6岁，2剂次间隔≥3年，第一剂次与a群多糖流脑疫苗间隔12个月。,
118,哪些人可以接种甲肝减毒活疫苗,"接种,甲肝,减毒活疫苗",甲肝,18月龄以上的甲型肝炎易感者,
119,哪些人可以接种甲肝疫苗,"接种,甲肝,疫苗",甲肝,≥1岁人群，特别是食品从业、幼教、医务人员及经常外出工作及旅游的人群。,
120,哪些人可以接种甲肝灭活疫苗,"接种,甲肝,灭活疫苗",甲肝,≥1岁人群，特别是食品从业、幼教、医务人员及经常外出工作及旅游的人群。,
121,哪些人可以接种麻疹疫苗,"接种,麻疹,疫苗",麻疹,主要为≥8月龄易感者,
122,哪些人可以接种水痘疫苗,"接种,水痘,疫苗",水痘,≥1岁人群,
123,哪些人可以接种乙脑疫苗,"接种,乙脑,疫苗",乙脑,主要为≥8月龄儿童，及由非疫区进入疫区的儿童和成人,
124,哪些人可以接种乙脑灭活疫苗,"接种,乙脑,灭活疫苗",乙脑,主要为≥8月龄儿童，及由非疫区进入疫区的儿童和成人,
126,哪些人可以接种acyw135群脑膜炎球菌多糖疫苗,"接种,acyw135,群,脑膜炎球菌多糖,疫苗","脑膜炎,acyw135",ACYW135群脑膜炎球菌多糖疫苗的接种对象为≥2岁儿童。,
127,哪些人可以接种b型流感嗜血杆菌结合疫苗,"接种,b型流感,嗜血杆菌,疫苗",b型流感,主要为2月龄～5岁儿童,
128,哪些人可以接种流感疫苗,"接种,流感疫苗",流感疫苗,≥6月龄人群。,
129,哪些人可以接种轮状病毒疫苗,"接种,轮状病毒,疫苗",轮状病毒,"单价轮状病毒疫苗的接种对象为2月龄-3岁；五价轮状病毒疫苗的接种对象为6-32周龄。",
130,哪些人可以接种13价肺炎球菌多糖结合疫苗,"接种,13价肺炎球菌多糖,疫苗",13价肺炎球菌,不同品种疫苗的接种对象略有不同，一般来说6周龄即可接种，详见疫苗说明书。,
131,哪些人可以接种23价肺炎球菌多糖疫苗,"接种,23价肺炎球菌多糖,疫苗",23价肺炎球菌,推荐受种者：≥2岁高风险患病人群，如65岁以上老年人、2岁以上高危儿童、患慢性病者、体弱、免疫功能低下等人群。,
132,哪些人可以接种炭疽疫苗,"接种,炭疽,疫苗",炭疽,炭疽常发地区人群，皮毛加工与制革工人、放牧员以及其他与牲畜密接接触者。,
133,哪些人可以接种狂犬病疫苗,"接种,狂犬病,疫苗",狂犬病,可在被动物致伤后立即使用，也可在未被致伤时预防性使用。,
134,哪些人可以接种霍乱疫苗,"接种,霍乱,疫苗",霍乱,2岁以上儿童及成人，尤其是霍乱发病与流行和发生自然灾害地区的高危人群，出入境和旅行者以及从事餐饮业和野外作业重点人员等也是极为适用的对象。,
135,哪些人可以接种手足口病疫苗,"接种,手足口病,疫苗",手足口,疫苗接种对象为≥6月龄易感儿童，越早接种越好；鼓励在12月龄前完成接种程序，以便尽早发挥保护作用。对于5岁以上儿童，不推荐接种。如今后疾病流行病学特征发生变化，出现大年龄组儿童发病率增高的趋势时，经科学评估后，再对接种对象做出评估和调整,
136,哪些人可以接种hpv疫苗,"接种,hpv,疫苗",hpv,目前中国大陆提供的hpv疫苗包括二价、四价和九价hpv疫苗，适用人群分别为：9~45岁女性、20~45岁女性、16~26岁女性。,
137,哪些人可以接种二价hpv疫苗,"接种,二价,hpv,疫苗","hpv,二价",适用于9~45岁女性接种。,
138,哪些人可以接种四价hpv疫苗,"接种,四价,hpv,疫苗","hpv,四价",适用于20~45岁女性接种。,
139,哪些人可以接种九价hpv疫苗,"接种,九价,hpv,疫苗","hpv,九价",适用于16~26岁女性接种。,
140,接种乙肝疫苗的免疫程序是什么,"接种,乙肝疫苗,免疫,程序",乙肝疫苗,婴儿在出生时、1月龄、6月龄各接种1剂。如需快速完成补种，第1、2剂间隔时间需≥28天，第2、3剂间隔时间需≥60天。,
141,接种卡介苗疫苗的免疫程序是什么,"接种,卡介苗,疫苗,免疫,程序",卡介苗,接种1剂，建议儿童出生时接种。,
142,接种百白破疫苗的免疫程序是什么,"接种,百白破,疫苗,免疫,程序",百白破,儿童在3、4、5月龄及18～24月龄各接种1剂，第1、2剂和第2、3剂之间的间隔时间应≥28天。,
143,接种白破疫苗的免疫程序是什么,"接种,白破,疫苗,免疫,程序",白破,6岁接种1剂。如果≥6岁接种百白破疫苗和白破疫苗累计＜3剂，则用白破疫苗补齐3剂；第2剂与第1剂间隔1～2月，第3剂与第2剂间隔6～12个月。,
144,接种麻腮风三联疫苗的免疫程序是什么,"接种,麻腮风三联,疫苗,免疫,程序","麻腮风,三联",儿童在8月龄接种1剂麻腮风疫苗，18月龄和6周岁分别接种1剂麻腮风疫苗,
145,接种乙脑减毒活疫苗的免疫程序是什么,"接种,乙脑,减毒活疫苗,免疫,程序",乙脑,儿童在8月龄和2岁各接种1剂乙脑减毒活疫苗,
146,接种a群流脑多糖疫苗的免疫程序是什么,"接种,a群流脑,多糖,疫苗,免疫,程序",a群流脑,中国现行的a群流脑多糖流脑疫苗的免疫程序：接种对象年龄为6~18月龄，基础免疫注射2针，2针间隔≥3个月。,
